potencial,negocio,nicho,cidade,perfil_cidade,site,nota_site,builder,booking,ano_copyright,instagram,seguidores_ig,emails,diagnostico_site,como_abordar,screenshot
"8","Cosmetica Med Spa","med spa","Boca Raton, FL","Afluente","cosmeticamedspa.com","4","WordPress","sim","2022","@cosmeticamedspa","96K","","foto de banco de imagem obvia recortada, titulo em caps com sombra, botao azul arredondado tipo Divi 2016, copyright 2022","DM no @cosmeticamedspa (96K). SEM e-mail no site. Gancho: foto de banco de imagem obvia recortada, titulo em caps com sombra, botao azul arredondado tipo Divi 2016, copyright 2022. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/cosmeticamedspa.com.png"
"8","Boca Dental & Cosmetic Dentist","odontologia","Boca Raton, FL","Afluente","bocadental.com","4","WordPress","sim","2026","@boca.dental","343","info@bocadental.com","barra azul densa com 9 dropdowns, carrossel de logos CEREC/LightWalker sobre o video e 4 botoes azuis; template odonto tipo Officite","DM no @boca.dental (343) ou e-mail info@bocadental.com. Gancho: barra azul densa com 9 dropdowns, carrossel de logos CEREC/LightWalker sobre o video e 4 botoes azuis. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/bocadental.com.png"
"8","ᐅ #1 Mobile Pet Grooming in Doral, Flori","pet grooming","Orlando, FL","Média","purrfectgrooming.pet","3","WordPress","sim","2019","@purrfectgrooming.pet","4,980","contactus@purrfectgrooming.pet","Hero quebrado com sobreposicao de logo; frota adesivada (investe em marca); ATENCAO: sede em Doral/Miami","DM no @purrfectgrooming.pet (4.980) ou e-mail contactus@. Gancho: hero quebrado com logo sobreposto; frota adesivada mostra que investem em marca, mas o site não acompanha. Confirme a cidade antes (parece Doral, não Orlando).","prospeccao/fotos/purrfectgrooming.pet.png"
"8","Classic Pools of Naples","piscina","Naples, FL","Afluente","classicpoolsofnaples.com","4","WordPress","nao","2026","@classicpoolsofnaples","1,515","info@classicpoolsofnaples.com","hero lavado: titulo e botao quase invisiveis sobre imagem esmaecida em branco; construtora de piscinas local","DM no @classicpoolsofnaples (1,515) ou e-mail info@classicpoolsofnaples.com. Gancho: hero lavado: titulo e botao quase invisiveis sobre imagem esmaecida em branco. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/classicpoolsofnaples.com.png"
"8","Stahlman Pool Company","piscina","Naples, FL","Afluente","stahlmanpool.com","4","WordPress","nao","2017","","","service@stahlmanpool.com","template WordPress teal generico com link Follow: G+ (Google+ morto) e copyright 2017; empresa unica since 2006","E-mail service@stahlmanpool.com. SEM Instagram no site. Gancho: template WordPress teal generico com link Follow: G+ (Google+ morto) e copyright 2017. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/stahlmanpool.com.png"
"8","Custom Pool Builder Dallas TX","piscina","Frisco, TX","Afluente","robertsonpools.com","4","WordPress","sim","2026","","","webdev@poolbuilder-marketing.com / info@robertsonpools.com","logo em script dourado anos 90, selo 40 Years em clipart e badge Google gigante colado na foto; Divi generico, familia desde 1985","E-mail webdev@poolbuilder-marketing.com. SEM Instagram no site. Gancho: logo em script dourado anos 90, selo 40 Years em clipart e badge Google gigante colado na foto. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/robertsonpools.com.png"
"8","Tree Service In Kansas City MO","tree service","Kansas City, MO","Média","choicetreeservicekc.com","3","custom/desconhecido","nao","2011","","","","Copyright 2011, template bootstrap velho, form denso; negocio real com 2 telefones","SEM canal direto. Maps/Facebook. Gancho: copyright 2011 e formulário denso; prévia com pedido de orçamento em 3 campos.","prospeccao/fotos/choicetreeservicekc.com.png"
"7","Phoenix Auto Repair","auto repair","Phoenix, AZ","Média","phoenixautoshop.com","4","WordPress","sim","2026","","","mickey@phoenixautoshop.com","Divi roxo datado ~2015; oficina familiar desde 1979; email do dono (mickey@) exposto no site","E-mail DIRETO DO DONO: mickey@phoenixautoshop.com. Gancho: oficina de família desde 1979 com site Divi roxo de 2015; prévia que respeite a história e mostre agendamento.","prospeccao/fotos/phoenixautoshop.com.png"
"7","Anytime Touchless Car Wash Phoenix","car wash","Phoenix, AZ","Média","touchlesscarwash.com","4","WordPress","nao","2026","","","","Visual datado, video com texto arial; rede local pequena de Phoenix","SEM canal direto. Maps. Gancho: visual datado com texto em Arial sobre vídeo; rede local pequena de Phoenix.","prospeccao/fotos/touchlesscarwash.com.png"
"7","San Antonio Fence Company","fencing","San Antonio, TX","Média","sanantoniofencecompany.net","4","Weebly","nao","","","","","Weebly DIY, tipografia generica, fotos reais; dono fez sozinho","SEM canal direto. Maps/Facebook. Gancho: Weebly feito pelo próprio dono, ele já sabe que o site é fraco; prévia com galeria das cercas reais.","prospeccao/fotos/sanantoniofencecompany.net.png"
"7","Western Heating & Air Conditioning","hvac","Boise, ID","Média","westernhvac.com","4","Squarespace","sim","2026","@westernhvac","2,281","csr@westernhvac.com / tom@westernhvac.com / max@westernhvac.com","Logo 3D anos 2000, botoes de ticket; desde 1967, Carrier dealer = caixa; decisao pode ser lenta","E-mail tom@ ou max@ (parecem os sócios) ou DM @westernhvac (2.281). Gancho: desde 1967 e Carrier dealer, mas logo 3D dos anos 2000. Empresa grande: espere decisão mais lenta.","prospeccao/fotos/westernhvac.com.png"
"7","Landscape Company","landscaping","Columbus, OH","Média","sciotolandscaping.com","4","custom/desconhecido","nao","","","","info@sciotolandscaping.com","Template 2012 com foto de banco de imagem; info@ visivel no header","E-mail info@sciotolandscaping.com. Gancho: template de 2012 usando FOTO DE BANCO DE IMAGEM; prévia com os jardins reais que eles fizeram.","prospeccao/fotos/sciotolandscaping.com.png"
"7","Lee's General Landscaping","landscaping","Bellevue, WA","Afluente","leesgenerallandscaping.com","4","WordPress","nao","2026","","","lees.g.landscaping@gmail.com","hero com embed quebrado (caixa branca vazia com icone de engrenagem) e marca dagua gigante do logo; 30 anos, familiar","E-mail lees.g.landscaping@gmail.com. SEM Instagram no site. Gancho: hero com embed quebrado (caixa branca vazia com icone de engrenagem) e marca dagua gigante do logo. Mande a previa da home antes de falar de preco.","prospeccao/fotos/leesgenerallandscaping.com.png"
"7","Medspa","med spa","Frisco, TX","Afluente","hushmedspa.com","5","Wix","sim","2026","@hushmedspa","8,913","info@hushmedspa.com","Wix com menu quebrado em duas linhas e sublinhados soltos, mistura serif italico com sans; 1 unidade em Frisco","DM no @hushmedspa (8,913) ou e-mail info@hushmedspa.com. Gancho: Wix com menu quebrado em duas linhas e sublinhados soltos, mistura serif italico com sans. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/hushmedspa.com.png"
"7","Painting Services in Gastonia, Belmont, ","painting","Charlotte, NC","Média","straightedgepaintingpros.com","4","WordPress","nao","2026","","","straightedgepp@gmail.com","Logo clipart, WP basico; 49 reviews 4.8 = negocio bom com site fraco","E-mail straightedgepp@gmail.com (Gmail = negócio pequeno, o dono lê). Gancho: 49 avaliações 4.8 estrelas e o site não mostra isso em lugar nenhum.","prospeccao/fotos/straightedgepaintingpros.com.png"
"7","All Creatures Pet Grooming","pet grooming","Orlando, FL","Média","allcreaturespetgrooming.com","4","Wix","sim","2024","@allcreaturespetgrooming","3,277","info@allcreaturespetgrooming.com","Wix DIY com logo duplicado gigante e layout desalinhado; tem booking","DM no @allcreaturespetgrooming (3.277) ou e-mail info@. Gancho: Wix com logo duplicado gigante e layout desalinhado; print lado a lado resolve a conversa.","prospeccao/fotos/allcreaturespetgrooming.com.png"
"7","Scottsdale Pool Service & Repair","piscina","Scottsdale, AZ","Afluente","scottsdalepoolserviceandrepair.com","5","WordPress","sim","2024","","","","landing de funil com card branco e formulario multi-step, logo minusculo generico, nada de identidade; operacao pequena","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: landing de funil com card branco e formulario multi-step, logo minusculo generico, nada de identidade. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/scottsdalepoolserviceandrepair.com.png"
"7","Scottsdale Pool Maintenance & Service","piscina","Scottsdale, AZ","Afluente","honestpoolcare.com","5","GoDaddy","sim","2026","","","%20info@honestpoolcare.com / info@honestpoolcare.com","hero com parrafo de 8 linhas sobre foto escura, logo de agua pixelado, barra getdandy e 3 CTAs sobrepostos; 1 unidade","E-mail %20info@honestpoolcare.com. SEM Instagram no site. Gancho: hero com parrafo de 8 linhas sobre foto escura, logo de agua pixelado, barra getdandy e 3 CTAs sobrepostos. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/honestpoolcare.com.png"
"7","Pool Cleaning Service Naples FL","piscina","Naples, FL","Afluente","floridapoolservice.net","5","WordPress","nao","","","","manager@floridapoolservice.net","header com textura de agua e logo em wordart 3D, hero escuro e headline em fonte slab western; 1 unidade residencial since 2001","E-mail manager@floridapoolservice.net. SEM Instagram no site. Gancho: header com textura de agua e logo em wordart 3D, hero escuro e headline em fonte slab western. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/floridapoolservice.net.png"
"7","Texas Outdoor Oasis","piscina","Frisco, TX","Afluente","texasoutdooroasis.com","5","WordPress","nao","2026","@texasoutdooroasis","2,703","office@texasoutdooroasis.com","logo com clipart de palmeira e contorno verde, titulo em fonte condensada esticada, template Kadence generico; 1 unidade local","DM no @texasoutdooroasis (2,703) ou e-mail office@texasoutdooroasis.com. Gancho: logo com clipart de palmeira e contorno verde, titulo em fonte condensada esticada, template Kadence generico. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/texasoutdooroasis.com.png"
"7","Custom Home Builders Seattle, WA","reforma","Bellevue, WA","Afluente","rwandersonhomes.com","5","WordPress","nao","2026","@rwandersonhomes","79K","ryan@rwandersonhomes.com","menu em caixa lateral turquesa estilo 2013 e slider com 16 bolinhas; construtora de casas de luxo, escritorio pequeno","DM no @rwandersonhomes (79K) ou e-mail ryan@rwandersonhomes.com. Gancho: menu em caixa lateral turquesa estilo 2013 e slider com 16 bolinhas. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/rwandersonhomes.com.png"
"7","Quality Home Remodeling in Bellevue, WA","reforma","Bellevue, WA","Afluente","distinctremodeling.com","5","WordPress","nao","2026","","","distinctremodeling@gmail.com","foto do hero escura com recorte torto do funcionario e coluna de formulario bege colada por cima; Elementor cru","E-mail distinctremodeling@gmail.com. SEM Instagram no site. Gancho: foto do hero escura com recorte torto do funcionario e coluna de formulario bege colada por cima. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/distinctremodeling.com.png"
"7","Roofing Contractor in Frisco, TX","roofing","Frisco, TX","Afluente","friscotxroofingcompany.com","4","WordPress","sim","2026","","","","hero com foto de montanha sem telhado, parede de texto SEO e barra vermelha Connect/Book/Call/Ask; 10+ anos, 1 endereco","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: hero com foto de montanha sem telhado, parede de texto SEO e barra vermelha Connect/Book/Call/Ask. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/friscotxroofingcompany.com.png"
"7","Roofing Contractor in Alpharetta, GA","roofing","Alpharetta, GA","Afluente","alpharettaroofingsolutions.com","5","WordPress","sim","2026","","","","hero com parede de texto SEO com capitular laranja, menu so Home e Contact; sala 302-11 sugere operacao de 1 unidade","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: hero com parede de texto SEO com capitular laranja, menu so Home e Contact. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/alpharettaroofingsolutions.com.png"
"7","Studio 10 Boca Raton","salao","Boca Raton, FL","Afluente","studio10bocaraton.com","4","WordPress","sim","2026","@studio10bocaraton","1,587","","logo circular brilhante estilo 2010, fundo gradiente turquesa e titulo STUDIO 10 estourando fora da tela; 1 unidade","DM no @studio10bocaraton (1,587). SEM e-mail no site. Gancho: logo circular brilhante estilo 2010, fundo gradiente turquesa e titulo STUDIO 10 estourando fora da tela. Mande a previa da home antes de falar de preco.","prospeccao/fotos/studio10bocaraton.com.png"
"6","Bloom Baking Co.","bakery","Kansas City, MO","Média","bloombakingco.com","5","custom/desconhecido","sim","2026","@bloombakingco","4,204","","Layout ~2015 (Duda), logo simples; padaria artesanal com IG","DM no @bloombakingco (4.204). SEM e-mail no site. Gancho: padaria artesanal bonita com site sem graça; prévia com as fotos dos produtos que já postam no IG.","prospeccao/fotos/bloombakingco.com.png"
"6","Car wash in Tampa","car wash","Tampa, FL","Média","bluswancarwashtampa.com","5","GoDaddy","nao","2026","","","bluswancarwash@gmail.com","GoDaddy DIY, 1 unidade; template razoavel mas generico","E-mail bluswancarwash@gmail.com. Gancho: GoDaddy DIY genérico; prévia com planos e preços claros.","prospeccao/fotos/bluswancarwashtampa.com.png"
"6","Fence Contractor — San Antonio, TX — Ala","fencing","San Antonio, TX","Média","alamofencesa.com","4","custom/desconhecido","nao","","@alamofencesa","88","customerservice@alamofencesa.com","Layout centrado antigo; customerservice@ exposto; negocio estabelecido","E-mail customerservice@alamofencesa.com. Gancho: layout centrado antigo. Extra: o IG tem só 88 seguidores, dá pra oferecer site + presença social.","prospeccao/fotos/alamofencesa.com.png"
"6","Boise HVAC","hvac","Boise, ID","Média","ims365hvac.com","5","WordPress","nao","","","","service@ims365hvac.com","WP generico, hero cru; empresa 25+ anos","E-mail service@ims365hvac.com. Gancho: 25+ anos de experiência num WordPress genérico com hero cru.","prospeccao/fotos/ims365hvac.com.png"
"6","HVAC Company Alpharetta GA","hvac","Alpharetta, GA","Afluente","neesehvac.com","5","WordPress","sim","","","","","template Divi com foto de banco de familia no sofa e logo em desenho anos 90; since 1992, 2.100+ avaliacoes, atende Metro Atlanta","SEM Instagram e SEM e-mail no site: ache o contato no Google Maps/Facebook ou use o formulario do proprio site. Gancho: template Divi com foto de banco de familia no sofa e logo em desenho anos 90. Mande a previa da home antes de falar de preco.","prospeccao/fotos/neesehvac.com.png"
"6","Martial Arts World Orlando","martial arts","Orlando, FL","Média","martialartsworldorlando.com","5","WordPress","nao","","@maworlando","1,049","orlandoadmin@mawus.com","Logo anos 90, layout mediano; academia local com programas","DM no @maworlando (1.049) ou e-mail orlandoadmin@. Gancho: logo dos anos 90; prévia com formulário de aula experimental, que é como academia capta.","prospeccao/fotos/martialartsworldorlando.com.png"
"6","Starwood Med Spa Frisco","med spa","Frisco, TX","Afluente","starwoodmedspa.com","3","WordPress","sim","","@starwoodmedspa","6,022","info@starwoodmedspa.com","modal com flyer JPG de promocao em letra ilegivel cobrindo o menu, header com foto de marmore; 4 unidades no DFW","DM no @starwoodmedspa (6,022) ou e-mail info@starwoodmedspa.com. Gancho: modal com flyer JPG de promocao em letra ilegivel cobrindo o menu, header com foto de marmore. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/starwoodmedspa.com.png"
"6","Medical Spa and Laser Center","med spa","Boca Raton, FL","Afluente","iconmd.com","5","WordPress","sim","2026","@iconmdmed","24K","","hero e video cortado no topo com logo gigante centralizado e faixas cinza nas laterais, menu hamburger no desktop; 2 unidades","DM no @iconmdmed (24K). SEM e-mail no site. Gancho: hero e video cortado no topo com logo gigante centralizado e faixas cinza nas laterais, menu hamburger no desktop. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/iconmd.com.png"
"6","Emergency Dentist in Bellevue, WA","odontologia","Bellevue, WA","Afluente","bellevuedentistry.com","5","WordPress","sim","2026","@bellevue_dentistry","123","","hero verde-oliva com fonte manuscrita You Matter e aba rosa flutuante; template de agencia odonto, 3 dentistas 1 clinica","DM no @bellevue_dentistry (123). SEM e-mail no site. Gancho: hero verde-oliva com fonte manuscrita You Matter e aba rosa flutuante. Mande a previa da home antes de falar de preco. Nicho de ticket alto: o valor do site e troco perto do que ele fatura por venda.","prospeccao/fotos/bellevuedentistry.com.png"
